==============================================================================
20230913 10:01:26.792 - INFO - + START SUITE: Main [ ]
==============================================================================
20230913 10:01:26.795 - INFO - +- START TEST: 1 - Executes Main flow [ ]
------------------------------------------------------------------------------
20230913 10:01:26.796 - INFO - +-- START KEYWORD: Main.When user runs main flow [ ]
20230913 10:01:26.801 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:28.162 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=1 HTTP/1.1" 200 None
20230913 10:01:28.168 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:28.749 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=1 HTTP/1.1" 200 None
20230913 10:01:32.945 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:33.756 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=2 HTTP/1.1" 200 None
20230913 10:01:36.890 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:38.277 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=3 HTTP/1.1" 200 None
20230913 10:01:40.439 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:41.587 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=4 HTTP/1.1" 200 None
20230913 10:01:43.717 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:45.078 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=5 HTTP/1.1" 200 None
20230913 10:01:47.272 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
20230913 10:01:48.087 - DEBUG - https://www.lelongtips.com.my:443 "GET /search?keyword=&property_type%5B%5D=1&property_type%5B%5D=4&property_type%5B%5D=5&property_type%5B%5D=3&min_price=150000&max_price=1000000&min_size=&max_size=&sort=price-asc&listing_status=upcoming&page=6 HTTP/1.1" 200 None
20230913 10:01:51.237 - DEBUG - Starting new HTTPS connection (1): www.lelongtips.com.my:443
